shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,tempSetValue,tempActualValue,tempMainLine,tempReturnLine,Product_Goodness,cavity
287,1,20.188,799.01538,0.352,28.25139,2005.62354,1646.48413,0.324,22.66533,3.05,200.10001,210.0,220.0,230.0,240.0,44.0,0.668,70.0,70.0,70.0,70.2,1,P1
34,1,20.19,799.93762,0.354,28.20552,2044.18945,1641.43274,0.326,22.65004,3.058,200.10001,210.10001,220.10001,230.0,239.8,43.0,0.67,70.0,70.0,70.0,70.0,1,P1
34,2,20.19,799.93762,0.354,28.20552,2044.18945,1641.43274,0.326,22.65004,3.058,200.10001,210.10001,220.10001,230.0,239.8,43.0,0.67,70.0,70.0,70.0,70.0,0,P2
232,1,20.188,799.19983,0.352,28.24119,2009.70349,1658.04431,0.326,22.7112,3.046,199.8,210.10001,220.10001,229.8,239.8,47.4,0.67,70.0,70.0,70.0,70.1,1,P1
232,2,20.188,799.19983,0.352,28.24119,2009.70349,1658.04431,0.326,22.7112,3.046,199.8,210.10001,220.10001,229.8,239.8,47.4,0.67,70.0,70.0,70.0,70.1,1,P2
26,1,20.188,800.30652,0.358,28.24629,2023.98364,1645.31848,0.326,22.63984,3.052,200.0,210.10001,220.0,230.0,239.8,42.0,0.672,70.0,70.0,70.0,70.0,1,P1
26,2,20.188,800.30652,0.358,28.24629,2023.98364,1645.31848,0.326,22.63984,3.052,200.0,210.10001,220.0,230.0,239.8,42.0,0.672,70.0,70.0,70.0,70.0,1,P2
84,1,20.188,799.93762,0.472,28.2361,2023.10925,1644.92993,0.324,22.63984,3.066,200.10001,210.10001,220.10001,230.0,239.8,46.4,0.668,70.0,70.0,70.0,70.1,1,P1
84,2,20.188,799.93762,0.472,28.2361,2023.10925,1644.92993,0.324,22.63984,3.066,200.10001,210.10001,220.10001,230.0,239.8,46.4,0.668,70.0,70.0,70.0,70.1,0,P2
245,1,20.188,799.19983,0.418,28.21061,2015.62927,1654.15857,0.326,22.63984,3.058,199.60001,210.0,220.10001,230.0,239.8,41.0,0.67,70.0,70.0,70.0,70.1,1,P1
