shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,tempSetValue,tempActualValue,tempMainLine,tempReturnLine,Product weight g
43,1,20.18800,799.93762,0.35400,28.20552,1984.93188,1652.21570,0.32600,22.65514,3.06800,200.00000,210.10001,220.10001,230.00000,239.80000,44.00000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3589
44,1,20.18800,800.12207,0.34800,28.24629,2016.40637,1649.20422,0.32600,22.64494,3.04600,200.00000,210.00000,220.00000,230.00000,239.80000,44.00000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3555
45,1,20.19000,800.12207,0.35000,28.24119,2039.13794,1646.28992,0.32600,22.63984,3.05600,200.10001,209.80000,220.00000,230.00000,239.80000,44.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3592
46,1,20.19000,800.49097,0.42000,28.20552,2048.26953,1642.01563,0.32600,22.65514,3.06400,200.10001,210.10001,220.10001,230.00000,239.80000,44.50000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3559
47,1,20.19000,799.93762,0.35600,28.21061,2032.43506,1646.28992,0.32800,22.63984,3.05000,200.10001,210.10001,220.00000,230.00000,239.80000,44.50000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3547
48,1,20.18800,800.30652,0.42000,28.20042,2005.91492,1648.32996,0.32400,22.66023,3.06800,200.10001,210.00000,220.00000,230.00000,239.80000,44.50000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3570
49,1,20.19000,800.12207,0.35800,28.22590,2037.48657,1645.22131,0.32800,22.63984,3.05800,200.00000,210.10001,220.10001,230.00000,239.80000,44.50000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3552
50,1,20.19000,800.30652,0.41600,28.20042,2033.01794,1644.73560,0.32800,22.66023,3.05600,200.00000,210.00000,220.00000,230.00000,239.80000,44.70000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3547
51,1,20.19000,800.12207,0.35800,28.21571,2024.27502,1649.20422,0.32800,22.62965,3.04600,200.10001,210.00000,220.00000,230.00000,239.80000,44.70000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3589
52,1,20.18800,800.12207,0.35800,28.24119,2014.65784,1649.39844,0.32600,22.65004,3.05600,199.80000,210.10001,220.10001,230.00000,239.80000,44.70000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3591
53,1,20.19000,800.12207,0.35600,28.20042,2038.06946,1649.10706,0.32800,22.66533,3.05800,199.80000,209.80000,220.00000,230.00000,239.80000,44.90000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3561
54,1,20.18800,800.12207,0.40400,28.20552,2011.16064,1648.81567,0.32400,22.68062,3.04400,200.00000,210.00000,220.10001,230.00000,239.80000,45.00000,0.67400,70.00000,70.00000,70.00000,70.10000,17.3545
55,1,20.18800,800.12207,0.35600,28.22081,2030.88074,1643.47278,0.32800,22.65004,3.05200,199.80000,210.00000,220.00000,229.80000,239.80000,45.00000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3551
56,1,20.18800,800.12207,0.41800,28.21061,2027.86938,1654.06140,0.32600,22.64494,3.05000,199.80000,209.80000,219.80000,229.80000,239.80000,45.20000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3570
57,1,20.18800,799.93762,0.35600,28.23610,2033.01794,1646.96985,0.32600,22.65004,3.05400,199.80000,210.10001,220.10001,229.80000,239.80000,45.20000,0.67200,70.00000,70.00000,70.00000,70.10000,17.3528
58,1,20.18800,799.93762,0.35200,28.21061,2028.74365,1651.24426,0.32600,22.65514,3.05000,199.80000,210.00000,220.00000,229.80000,239.80000,45.40000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3575
59,1,20.18800,800.12207,0.35800,28.20552,2019.02930,1647.06702,0.32600,22.65514,3.05400,200.00000,209.80000,219.80000,229.80000,239.80000,45.20000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3553
60,1,20.18800,799.93762,0.40400,28.22590,2040.49805,1645.41565,0.32400,22.64494,3.05400,199.80000,210.10001,220.10001,230.00000,239.80000,45.40000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3540
61,1,20.18800,800.12207,0.35400,28.23610,2028.25793,1647.74707,0.32600,22.68062,3.04600,199.80000,210.00000,220.00000,230.00000,239.80000,45.40000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3563
